temperature,feels_like,humidity,wind_speed,weather_condition,time_of_day,season,mood,occasion,recommended_top,recommended_bottom,recommended_outer,accessories
38.4,38.0,46,21.8,clear,evening,summer,good,work,kurta,pants,none,sunglasses
28.9,29.2,71,20.8,clear,evening,summer,good,formal,kurta,cotton pants,none,sunglasses
30.0,29.8,72,7.4,clear,morning,summer,bad,casual,kurta,skirt,none,sunglasses
33.1,33.7,85,11.2,clear,night,summer,bad,work,t-shirt,shorts,none,sunglasses
39.6,39.6,34,22.6,cloudy,night,summer,good,party,tank top,skirt,none,none
35.7,34.4,54,20.7,rain,evening,summer,bad,casual,kurta,skirt,none,none
34.7,34.9,59,9.7,rain,afternoon,summer,good,work,tank top,shorts,none,none
29.7,28.7,85,7.9,rain,morning,summer,good,work,tank top,pants,none,none
29.1,28.5,51,20.7,clear,morning,summer,bad,formal,shirt,pants,none,sunglasses
34.2,34.6,87,6.4,rain,morning,summer,good,formal,shirt,skirt,none,none
33.8,32.3,82,13.8,cloudy,afternoon,summer,bad,formal,kurta,skirt,none,none
39.1,38.9,50,23.1,cloudy,evening,summer,good,party,tank top,cotton pants,none,none
29.1,28.7,47,14.0,rain,night,summer,neutral,party,kurta,pants,none,none
28.0,28.0,49,23.9,cloudy,evening,summer,neutral,casual,shirt,cotton pants,none,none
28.9,27.4,79,12.3,clear,morning,summer,neutral,casual,t-shirt,cotton pants,none,sunglasses
39.0,39.4,78,14.6,clear,morning,summer,good,casual,kurta,shorts,none,sunglasses
39.6,39.3,34,14.3,clear,morning,summer,bad,casual,t-shirt,skirt,none,sunglasses
39.9,40.1,45,5.1,rain,night,summer,bad,work,t-shirt,cotton pants,none,none
35.4,34.8,87,21.5,rain,night,summer,good,casual,tank top,skirt,none,none
36.0,35.8,83,9.9,rain,afternoon,summer,good,work,shirt,skirt,none,none
38.4,37.6,59,22.6,clear,evening,summer,neutral,work,kurta,cotton pants,none,sunglasses
28.4,29.6,47,24.1,rain,afternoon,summer,bad,casual,kurta,shorts,none,none
36.2,35.7,68,13.5,cloudy,evening,summer,bad,party,t-shirt,shorts,none,none
35.5,36.8,90,10.8,clear,evening,summer,neutral,formal,kurta,pants,none,sunglasses
37.6,38.8,83,23.3,rain,evening,summer,good,formal,shirt,shorts,none,none
28.4,27.7,57,12.7,cloudy,afternoon,summer,bad,party,shirt,pants,none,none
38.6,38.8,57,23.4,rain,morning,summer,good,work,kurta,skirt,none,none
37.8,39.0,64,24.3,cloudy,night,summer,neutral,party,shirt,shorts,none,none
34.6,35.9,88,8.1,rain,afternoon,summer,good,work,shirt,cotton pants,none,none
33.9,32.6,47,8.6,cloudy,afternoon,summer,bad,work,t-shirt,shorts,none,none
37.2,38.5,45,22.3,cloudy,afternoon,summer,good,work,tank top,skirt,none,none
33.2,33.3,66,11.2,clear,night,summer,neutral,work,tank top,pants,none,sunglasses
28.8,29.9,55,20.1,cloudy,night,summer,bad,formal,kurta,shorts,none,none
34.0,33.1,45,7.9,cloudy,afternoon,summer,good,formal,t-shirt,skirt,none,none
38.5,37.3,88,12.6,clear,evening,summer,neutral,casual,t-shirt,skirt,none,sunglasses
39.4,39.4,76,14.7,cloudy,night,summer,bad,party,shirt,skirt,none,none
30.8,31.6,38,15.4,cloudy,night,summer,bad,formal,tank top,shorts,none,none
34.7,34.9,87,6.3,cloudy,afternoon,summer,neutral,party,tank top,pants,none,none
35.9,36.2,53,12.0,rain,afternoon,summer,neutral,party,tank top,shorts,none,none
31.3,31.8,33,5.1,clear,morning,summer,bad,formal,shirt,pants,none,sunglasses
39.4,39.1,44,12.4,clear,night,summer,neutral,casual,kurta,shorts,none,sunglasses
40.0,38.9,81,12.3,cloudy,afternoon,summer,neutral,party,kurta,cotton pants,none,none
39.9,40.0,72,15.8,cloudy,night,summer,neutral,formal,tank top,pants,none,none
37.5,36.3,59,21.6,clear,morning,summer,bad,party,tank top,skirt,none,sunglasses
34.0,34.1,62,11.9,cloudy,morning,summer,bad,casual,tank top,cotton pants,none,none
28.7,28.5,62,8.5,cloudy,afternoon,summer,neutral,casual,kurta,skirt,none,none
35.1,36.0,44,13.3,rain,afternoon,summer,neutral,party,tank top,skirt,none,none
39.6,39.4,42,7.1,clear,afternoon,summer,neutral,casual,tank top,pants,none,sunglasses
36.5,36.1,89,17.8,clear,night,summer,good,casual,kurta,cotton pants,none,sunglasses
29.2,28.5,72,20.9,cloudy,afternoon,summer,neutral,casual,t-shirt,pants,none,none
31.8,31.5,90,24.1,rain,night,summer,bad,casual,kurta,cotton pants,none,none
37.4,36.5,52,5.6,cloudy,night,summer,bad,formal,kurta,cotton pants,none,none
30.3,31.2,49,11.3,rain,evening,summer,bad,casual,tank top,cotton pants,none,none
35.4,36.4,48,7.6,rain,evening,summer,neutral,party,t-shirt,pants,none,none
33.2,32.6,43,6.1,clear,morning,summer,neutral,party,shirt,pants,none,sunglasses
21.5,22.9,78,5.6,clear,evening,spring,good,casual,shirt,cotton pants,none,none
25.3,26.3,52,22.2,cloudy,night,spring,bad,work,kurta,pants,none,none
20.7,20.6,37,15.7,rain,night,spring,neutral,formal,kurta,pants,light jacket,umbrella
18.3,18.7,49,16.6,cloudy,evening,spring,good,casual,shirt,cotton pants,none,none
18.8,18.1,42,6.5,rain,night,spring,neutral,work,t-shirt,pants,light jacket,umbrella
18.5,18.4,42,13.5,cloudy,morning,spring,good,party,shirt,jeans,none,none
24.1,22.7,56,10.9,rain,afternoon,spring,neutral,casual,shirt,cotton pants,light jacket,umbrella
23.0,23.1,55,9.7,rain,evening,spring,good,work,t-shirt,cotton pants,light jacket,umbrella
22.7,22.1,51,11.7,clear,evening,spring,neutral,party,t-shirt,pants,none,none
24.5,24.5,54,14.7,clear,morning,spring,neutral,party,t-shirt,cotton pants,none,none
25.1,24.7,58,15.5,rain,afternoon,spring,neutral,party,shirt,jeans,light jacket,umbrella
23.8,24.5,50,12.4,clear,evening,spring,neutral,work,formal shirt,pants,none,none
23.2,22.1,72,16.9,rain,evening,spring,good,formal,t-shirt,jeans,light jacket,umbrella
24.5,23.5,78,7.1,rain,afternoon,spring,good,formal,formal shirt,pants,light jacket,umbrella
22.0,22.2,71,5.2,clear,night,spring,bad,casual,t-shirt,pants,none,none
21.6,21.7,56,20.9,clear,morning,spring,bad,party,formal shirt,cotton pants,none,none
22.6,23.4,36,9.4,rain,night,spring,good,party,t-shirt,pants,light jacket,umbrella
24.4,23.1,36,10.4,clear,afternoon,spring,good,casual,kurta,pants,none,none
23.3,23.5,67,23.2,clear,morning,spring,neutral,work,t-shirt,jeans,none,none
21.6,21.2,36,23.2,clear,afternoon,spring,good,casual,kurta,pants,none,none
25.6,25.7,62,24.7,rain,night,spring,bad,formal,shirt,cotton pants,light jacket,umbrella
24.6,25.9,61,23.6,rain,evening,spring,neutral,formal,kurta,cotton pants,light jacket,umbrella
18.4,18.3,60,24.9,cloudy,afternoon,spring,neutral,party,kurta,jeans,none,none
24.0,22.6,72,23.7,cloudy,evening,spring,good,work,formal shirt,pants,none,none
23.3,22.5,49,9.9,rain,evening,spring,bad,casual,t-shirt,cotton pants,light jacket,umbrella
23.8,22.7,71,8.4,rain,afternoon,spring,neutral,work,shirt,pants,light jacket,umbrella
19.9,20.8,59,7.3,clear,evening,spring,neutral,work,t-shirt,cotton pants,none,none
24.5,25.5,75,13.8,cloudy,evening,spring,good,casual,kurta,cotton pants,none,none
23.0,23.2,49,22.0,cloudy,evening,spring,good,casual,t-shirt,cotton pants,none,none
20.3,21.2,56,22.1,rain,night,spring,good,party,kurta,jeans,light jacket,umbrella
24.9,25.2,70,22.9,rain,morning,spring,bad,party,kurta,pants,light jacket,umbrella
25.5,26.2,78,6.7,cloudy,morning,spring,good,work,kurta,cotton pants,none,none
19.0,17.5,85,24.0,cloudy,evening,spring,neutral,work,kurta,cotton pants,none,none
25.0,26.5,68,21.0,rain,night,spring,good,formal,shirt,pants,light jacket,umbrella
22.4,21.8,46,23.7,clear,afternoon,spring,neutral,party,kurta,pants,none,none
24.7,25.1,76,13.5,cloudy,night,spring,neutral,party,formal shirt,cotton pants,none,none
24.1,24.9,36,10.3,clear,afternoon,spring,bad,work,formal shirt,pants,none,none
20.1,20.7,72,6.5,clear,evening,spring,bad,casual,shirt,jeans,none,none
20.9,20.2,48,9.6,cloudy,evening,spring,bad,party,shirt,jeans,none,none
19.8,19.5,83,23.0,clear,afternoon,spring,neutral,casual,shirt,jeans,none,none
23.5,25.0,65,8.1,clear,evening,spring,bad,casual,formal shirt,jeans,none,none
24.6,23.7,65,7.6,cloudy,afternoon,spring,neutral,formal,kurta,cotton pants,none,none
23.4,22.7,44,7.4,rain,evening,spring,bad,casual,kurta,cotton pants,light jacket,umbrella
23.8,23.6,50,22.2,rain,evening,spring,neutral,formal,t-shirt,jeans,light jacket,umbrella
21.7,22.7,57,14.4,clear,night,spring,bad,casual,shirt,pants,none,none
25.6,26.7,88,8.6,clear,afternoon,spring,neutral,casual,shirt,jeans,none,none
22.7,23.4,35,7.9,clear,night,spring,good,formal,shirt,jeans,none,none
25.0,25.7,43,11.8,rain,morning,spring,good,casual,t-shirt,cotton pants,light jacket,umbrella
18.6,19.3,44,23.6,rain,afternoon,spring,neutral,work,t-shirt,jeans,light jacket,umbrella
20.6,20.1,45,9.8,clear,night,spring,good,casual,formal shirt,cotton pants,none,none
18.7,18.4,74,9.5,rain,afternoon,spring,bad,party,shirt,jeans,light jacket,umbrella
23.0,23.8,37,18.9,cloudy,evening,spring,bad,work,kurta,cotton pants,none,none
23.8,24.9,32,19.2,rain,morning,spring,bad,work,shirt,cotton pants,light jacket,umbrella
22.3,23.4,47,10.5,cloudy,morning,spring,neutral,party,formal shirt,cotton pants,none,none
19.8,18.4,65,19.7,clear,afternoon,spring,neutral,casual,formal shirt,cotton pants,none,none
20.5,21.7,66,12.0,rain,night,spring,bad,formal,formal shirt,jeans,light jacket,umbrella
23.0,21.7,50,11.5,rain,evening,spring,good,party,formal shirt,pants,light jacket,umbrella
19.1,17.6,64,20.0,clear,evening,spring,bad,casual,shirt,jeans,none,none
25.0,24.7,69,17.9,rain,afternoon,spring,neutral,work,t-shirt,jeans,light jacket,umbrella
19.0,20.4,62,11.2,clear,afternoon,spring,good,casual,formal shirt,cotton pants,none,none
18.7,17.8,31,22.5,cloudy,evening,spring,good,formal,kurta,pants,none,none
20.6,20.9,40,14.5,rain,evening,spring,neutral,party,shirt,pants,light jacket,umbrella
18.2,17.3,81,13.1,rain,night,spring,neutral,casual,shirt,pants,light jacket,umbrella
22.0,22.7,72,24.6,rain,night,spring,bad,formal,formal shirt,pants,light jacket,umbrella
23.2,23.7,62,11.8,clear,afternoon,spring,bad,formal,kurta,cotton pants,none,none
23.7,24.4,56,14.3,cloudy,night,spring,good,casual,kurta,pants,none,none
18.2,18.6,84,12.5,clear,night,spring,bad,party,kurta,cotton pants,none,none
18.7,19.6,56,22.3,cloudy,afternoon,spring,good,work,formal shirt,cotton pants,none,none
20.4,19.3,63,11.8,rain,night,spring,neutral,party,kurta,cotton pants,light jacket,umbrella
20.4,19.9,38,14.5,cloudy,evening,spring,neutral,formal,shirt,pants,none,none
24.1,25.0,89,17.7,cloudy,afternoon,spring,bad,casual,formal shirt,pants,none,none
22.6,21.9,38,9.8,clear,night,spring,good,formal,formal shirt,cotton pants,none,none
20.9,20.4,46,7.6,cloudy,morning,spring,neutral,casual,kurta,pants,none,none
23.7,24.7,35,21.2,rain,night,spring,neutral,party,t-shirt,pants,light jacket,umbrella
23.5,24.1,68,18.5,cloudy,afternoon,spring,bad,formal,t-shirt,cotton pants,none,none
19.9,20.6,90,19.3,clear,night,spring,good,party,formal shirt,cotton pants,none,none
20.4,21.4,52,14.4,cloudy,night,spring,good,casual,formal shirt,jeans,none,none
18.1,16.6,48,15.8,cloudy,morning,spring,neutral,casual,t-shirt,pants,none,none
23.4,24.5,86,12.0,rain,night,spring,neutral,work,t-shirt,cotton pants,light jacket,umbrella
21.1,21.8,44,13.8,rain,evening,spring,good,formal,formal shirt,pants,light jacket,umbrella
25.9,25.2,56,22.9,cloudy,afternoon,spring,neutral,formal,formal shirt,cotton pants,none,none
23.5,25.0,51,12.0,clear,night,spring,good,formal,shirt,cotton pants,none,none
18.9,19.1,80,18.5,rain,night,spring,good,casual,kurta,jeans,light jacket,umbrella
18.9,20.1,78,6.9,cloudy,afternoon,spring,bad,party,kurta,jeans,none,none
21.3,20.9,69,22.5,clear,night,spring,neutral,party,kurta,pants,none,none
19.2,18.4,76,22.6,rain,night,spring,neutral,party,shirt,cotton pants,light jacket,umbrella
22.8,23.9,43,22.1,rain,night,spring,bad,work,shirt,pants,light jacket,umbrella
18.2,18.6,56,21.9,rain,afternoon,spring,neutral,formal,t-shirt,cotton pants,light jacket,umbrella
23.1,24.1,76,16.1,cloudy,evening,spring,bad,casual,formal shirt,pants,none,none
21.0,21.4,67,17.3,clear,night,spring,bad,work,shirt,pants,none,none
24.4,23.5,60,9.6,cloudy,night,spring,good,formal,t-shirt,jeans,none,none
25.4,24.0,47,18.2,rain,night,spring,neutral,formal,kurta,jeans,light jacket,umbrella
19.9,19.2,38,24.0,rain,afternoon,spring,bad,casual,t-shirt,cotton pants,light jacket,umbrella
21.2,21.0,33,12.8,cloudy,night,spring,neutral,party,shirt,jeans,none,none
24.8,24.4,57,12.8,cloudy,afternoon,spring,bad,work,shirt,jeans,none,none
18.2,17.6,66,7.5,clear,night,spring,neutral,work,formal shirt,jeans,none,none
19.3,18.4,50,23.0,cloudy,evening,spring,good,party,kurta,jeans,none,none
19.4,20.4,61,20.8,clear,morning,spring,bad,work,kurta,pants,none,none
19.6,19.2,87,10.9,cloudy,morning,spring,neutral,formal,shirt,pants,none,none
24.4,23.3,43,10.3,clear,evening,spring,good,party,formal shirt,cotton pants,none,none
18.5,17.3,33,10.7,cloudy,night,spring,good,formal,shirt,pants,none,none
23.0,23.0,76,21.1,cloudy,evening,spring,bad,party,t-shirt,cotton pants,none,none
25.6,26.9,54,7.6,cloudy,afternoon,spring,good,party,formal shirt,jeans,none,none
21.2,20.8,88,18.7,clear,night,spring,good,party,t-shirt,cotton pants,none,none
23.7,22.6,78,15.5,cloudy,morning,spring,good,party,kurta,pants,none,none
24.8,25.2,74,16.8,clear,afternoon,spring,neutral,casual,t-shirt,pants,none,none
24.8,26.3,67,23.9,clear,morning,spring,bad,casual,shirt,jeans,none,none
24.8,25.7,63,15.2,rain,night,spring,bad,formal,shirt,pants,light jacket,umbrella
21.4,20.5,36,7.1,cloudy,evening,spring,good,work,shirt,pants,none,none
25.0,25.0,67,13.3,rain,evening,spring,bad,casual,formal shirt,pants,light jacket,umbrella
20.8,19.5,60,12.2,rain,morning,spring,neutral,casual,t-shirt,jeans,light jacket,umbrella
18.3,19.0,41,8.5,cloudy,morning,spring,neutral,formal,t-shirt,jeans,none,none
18.8,19.8,65,23.3,clear,night,spring,bad,work,kurta,cotton pants,none,none
24.9,25.9,47,7.4,rain,morning,spring,bad,casual,kurta,cotton pants,light jacket,umbrella
22.7,22.1,86,19.7,cloudy,afternoon,spring,good,work,shirt,jeans,none,none
24.6,25.9,67,11.7,cloudy,evening,spring,neutral,casual,shirt,cotton pants,none,none
21.3,21.5,67,13.6,cloudy,evening,spring,good,casual,kurta,cotton pants,none,none
22.7,21.3,77,17.3,cloudy,morning,spring,bad,party,t-shirt,pants,none,none
25.2,26.2,53,11.7,cloudy,evening,spring,bad,formal,t-shirt,pants,none,none
19.3,18.8,90,21.5,cloudy,night,spring,neutral,casual,t-shirt,cotton pants,none,none
21.1,19.9,71,18.2,cloudy,morning,spring,bad,party,kurta,jeans,none,none
25.3,24.2,45,23.1,cloudy,afternoon,spring,good,work,kurta,pants,none,none
21.8,22.4,52,15.5,rain,afternoon,spring,neutral,party,t-shirt,jeans,light jacket,umbrella
20.1,21.3,57,13.9,cloudy,night,spring,good,casual,shirt,jeans,none,none
18.5,19.7,43,6.7,rain,morning,spring,bad,formal,kurta,pants,light jacket,umbrella
18.8,17.7,43,18.6,clear,night,spring,good,work,formal shirt,pants,none,none
24.8,25.6,38,13.3,clear,morning,spring,good,work,t-shirt,jeans,none,none
20.1,21.3,55,9.5,cloudy,afternoon,spring,good,work,formal shirt,jeans,none,none
20.3,19.3,88,7.9,rain,afternoon,spring,bad,party,shirt,cotton pants,light jacket,umbrella
22.7,23.1,78,18.6,cloudy,morning,spring,neutral,work,t-shirt,cotton pants,none,none
20.8,19.3,35,19.5,cloudy,evening,spring,neutral,casual,shirt,pants,none,none
25.9,26.4,65,6.5,clear,evening,spring,bad,party,t-shirt,jeans,none,none
23.9,23.6,58,16.9,rain,afternoon,spring,good,casual,t-shirt,jeans,light jacket,umbrella
24.6,23.8,84,11.1,rain,night,spring,good,party,kurta,pants,light jacket,umbrella
19.4,19.8,69,6.1,rain,morning,spring,neutral,party,formal shirt,pants,light jacket,umbrella
23.6,24.3,32,11.7,clear,morning,spring,neutral,work,t-shirt,pants,none,none
26.0,24.9,35,22.4,cloudy,morning,spring,neutral,casual,formal shirt,pants,none,none
18.7,19.5,46,19.9,cloudy,evening,spring,bad,party,formal shirt,cotton pants,none,none
20.8,20.3,49,13.9,rain,afternoon,spring,bad,casual,kurta,cotton pants,light jacket,umbrella
21.1,22.5,52,23.1,rain,night,spring,neutral,party,shirt,pants,light jacket,umbrella
23.0,23.1,58,7.8,rain,afternoon,spring,neutral,work,formal shirt,jeans,light jacket,umbrella
23.4,22.9,71,16.0,cloudy,night,spring,good,work,t-shirt,jeans,none,none
24.7,24.2,63,5.0,rain,night,spring,neutral,party,kurta,cotton pants,light jacket,umbrella
23.7,23.0,73,21.3,cloudy,night,spring,good,work,formal shirt,pants,none,none
24.2,24.0,53,17.5,rain,afternoon,spring,neutral,casual,shirt,jeans,light jacket,umbrella
18.1,18.4,72,5.2,cloudy,night,spring,neutral,party,formal shirt,jeans,none,none
20.4,21.8,35,16.6,cloudy,afternoon,spring,good,formal,shirt,cotton pants,none,none
22.9,23.9,50,8.2,clear,evening,spring,neutral,work,t-shirt,pants,none,none
19.0,19.8,50,13.2,rain,evening,spring,bad,work,t-shirt,cotton pants,light jacket,umbrella
18.9,19.1,60,20.8,clear,afternoon,spring,neutral,work,formal shirt,pants,none,none
21.4,20.1,51,14.3,rain,evening,spring,neutral,party,shirt,cotton pants,light jacket,umbrella
19.3,18.1,73,12.9,clear,evening,spring,good,casual,shirt,jeans,none,none
24.0,24.7,51,6.3,clear,night,spring,neutral,work,t-shirt,pants,none,none
24.3,25.0,87,7.9,rain,evening,spring,good,formal,t-shirt,pants,light jacket,umbrella
23.8,23.9,65,6.4,rain,night,spring,neutral,work,t-shirt,pants,light jacket,umbrella
23.5,24.5,52,14.0,rain,morning,spring,neutral,formal,kurta,pants,light jacket,umbrella
21.2,22.4,52,19.6,rain,afternoon,spring,good,formal,shirt,cotton pants,light jacket,umbrella
18.7,20.2,35,17.9,clear,night,spring,bad,casual,formal shirt,cotton pants,none,none
24.6,23.1,85,11.4,clear,morning,spring,bad,formal,kurta,jeans,none,none
24.3,25.7,31,24.1,rain,morning,spring,neutral,formal,t-shirt,pants,light jacket,umbrella
23.9,24.8,37,19.1,clear,evening,spring,bad,casual,formal shirt,cotton pants,none,none
24.1,22.8,72,12.8,rain,night,spring,bad,work,t-shirt,cotton pants,light jacket,umbrella
18.3,18.9,47,12.9,cloudy,morning,spring,bad,casual,kurta,pants,none,none
22.4,22.6,85,11.2,cloudy,morning,spring,neutral,party,kurta,pants,none,none
22.7,23.9,44,20.2,clear,morning,spring,good,party,shirt,cotton pants,none,none
20.7,20.6,54,11.3,cloudy,afternoon,spring,good,work,t-shirt,jeans,none,none
25.3,23.9,49,12.3,cloudy,morning,spring,bad,party,formal shirt,jeans,none,none
18.2,19.5,52,9.1,clear,night,spring,neutral,party,shirt,cotton pants,none,none
24.8,25.0,80,12.7,clear,afternoon,spring,neutral,work,formal shirt,jeans,none,none
18.9,20.0,64,22.9,clear,evening,spring,bad,casual,formal shirt,jeans,none,none
25.3,24.1,53,11.1,rain,afternoon,spring,neutral,casual,kurta,cotton pants,light jacket,umbrella
24.7,25.0,48,7.8,clear,evening,spring,neutral,party,kurta,cotton pants,none,none
22.0,21.5,62,10.5,rain,afternoon,spring,good,party,kurta,jeans,light jacket,umbrella
18.8,17.7,79,9.7,cloudy,evening,spring,good,party,t-shirt,pants,none,none
24.9,23.5,90,13.2,rain,morning,spring,neutral,party,shirt,cotton pants,light jacket,umbrella
21.5,21.4,61,8.2,clear,afternoon,spring,neutral,formal,formal shirt,pants,none,none
22.3,20.9,59,6.5,cloudy,evening,spring,good,casual,shirt,jeans,none,none
22.3,23.2,41,18.1,cloudy,afternoon,spring,neutral,formal,formal shirt,cotton pants,none,none
26.0,26.6,70,5.8,cloudy,morning,spring,good,formal,formal shirt,cotton pants,none,none
22.3,23.2,34,14.7,clear,evening,spring,good,party,t-shirt,pants,none,none
23.3,24.2,65,16.3,clear,evening,spring,bad,party,formal shirt,cotton pants,none,none
24.8,24.4,77,22.2,rain,evening,spring,good,work,shirt,pants,light jacket,umbrella
24.2,25.4,38,5.6,rain,afternoon,spring,good,party,t-shirt,jeans,light jacket,umbrella
20.7,20.0,30,11.9,cloudy,morning,spring,neutral,formal,kurta,pants,none,none
